,timestamp,beacon_percentages,room
26,2023-04-10 14:22:32+09:00,{14: 1.0},kitchen
27,2023-04-10 14:22:33+09:00,{14: 1.0},kitchen
28,2023-04-10 14:22:36+09:00,{14: 1.0},kitchen
29,2023-04-10 14:22:39+09:00,"{4: 0.5, 14: 0.5}",kitchen
30,2023-04-10 14:22:40+09:00,{4: 1.0},kitchen
31,2023-04-10 14:22:41+09:00,"{14: 0.5, 4: 0.5}",kitchen
32,2023-04-10 14:22:43+09:00,"{4: 0.67, 6: 0.33}",kitchen
33,2023-04-10 14:22:44+09:00,"{4: 0.67, 14: 0.33}",kitchen
34,2023-04-10 14:22:45+09:00,"{14: 0.6, 4: 0.4}",kitchen
35,2023-04-10 14:22:46+09:00,"{4: 0.5, 6: 0.25, 14: 0.25}",kitchen
36,2023-04-10 14:22:47+09:00,{4: 1.0},kitchen
37,2023-04-10 14:22:48+09:00,"{4: 0.81, 14: 0.19}",kitchen
38,2023-04-10 14:22:49+09:00,"{14: 0.68, 4: 0.32}",kitchen
39,2023-04-10 14:22:50+09:00,"{4: 0.56, 14: 0.44}",kitchen
40,2023-04-10 14:22:51+09:00,"{14: 0.5, 4: 0.5}",kitchen
41,2023-04-10 14:22:52+09:00,"{4: 0.5, 14: 0.5}",kitchen
42,2023-04-10 14:22:53+09:00,"{14: 0.67, 4: 0.33}",kitchen
43,2023-04-10 14:22:54+09:00,{4: 1.0},kitchen
44,2023-04-10 14:22:55+09:00,"{4: 0.75, 14: 0.25}",kitchen
45,2023-04-10 14:22:56+09:00,"{14: 0.71, 4: 0.29}",kitchen
46,2023-04-10 14:22:57+09:00,"{4: 0.67, 14: 0.33}",kitchen
47,2023-04-10 14:22:58+09:00,"{14: 0.64, 4: 0.36}",kitchen
48,2023-04-10 14:22:59+09:00,"{4: 0.64, 14: 0.36}",kitchen
49,2023-04-10 14:23:00+09:00,"{14: 0.77, 4: 0.23}",kitchen
50,2023-04-10 14:23:01+09:00,{4: 1.0},kitchen
51,2023-04-10 14:23:02+09:00,{14: 1.0},kitchen
52,2023-04-10 14:23:03+09:00,{4: 1.0},kitchen
53,2023-04-10 14:23:04+09:00,{4: 1.0},kitchen
54,2023-04-10 14:23:09+09:00,"{4: 0.5, 14: 0.5}",kitchen
55,2023-04-10 14:23:10+09:00,{14: 1.0},kitchen
56,2023-04-10 14:23:11+09:00,{14: 1.0},kitchen
57,2023-04-10 14:23:12+09:00,{14: 1.0},kitchen
58,2023-04-10 14:23:13+09:00,{14: 1.0},kitchen
59,2023-04-10 14:23:14+09:00,{14: 1.0},kitchen
60,2023-04-10 14:23:15+09:00,{14: 1.0},kitchen
61,2023-04-10 14:23:16+09:00,"{4: 0.72, 14: 0.28}",kitchen
62,2023-04-10 14:23:17+09:00,"{4: 0.55, 14: 0.45}",kitchen
63,2023-04-10 14:23:18+09:00,"{4: 0.67, 9: 0.33}",kitchen
64,2023-04-10 14:23:19+09:00,"{4: 0.5, 6: 0.5}",kitchen
65,2023-04-10 14:23:20+09:00,"{4: 0.87, 9: 0.13}",kitchen
66,2023-04-10 14:23:21+09:00,"{17: 0.35, 5: 0.23, 4: 0.17}",kitchen
67,2023-04-10 14:23:22+09:00,"{5: 0.74, 19: 0.13, 6: 0.13}",kitchen
68,2023-04-10 14:23:23+09:00,"{19: 0.37, 17: 0.13, 3: 0.13}",kitchen
69,2023-04-10 14:23:24+09:00,"{19: 0.83, 6: 0.17}",kitchen
70,2023-04-10 14:23:25+09:00,{19: 1.0},kitchen
71,2023-04-10 14:23:29+09:00,"{19: 0.94, 9: 0.06}",cleaning
72,2023-04-10 14:23:30+09:00,"{19: 0.56, 9: 0.32, 4: 0.11}",cleaning
73,2023-04-10 14:23:31+09:00,"{19: 0.41, 4: 0.38, 9: 0.21}",cleaning
74,2023-04-10 14:23:32+09:00,"{19: 0.59, 6: 0.39, 4: 0.02}",cleaning
75,2023-04-10 14:23:33+09:00,"{19: 0.58, 4: 0.41, 6: 0.01}",cleaning
76,2023-04-10 14:23:34+09:00,"{4: 0.7, 6: 0.17, 9: 0.13}",cleaning
77,2023-04-10 14:23:35+09:00,"{4: 0.45, 9: 0.33, 8: 0.15}",cleaning
78,2023-04-10 14:23:36+09:00,"{20: 0.53, 19: 0.27, 18: 0.14}",cleaning
79,2023-04-10 14:23:37+09:00,"{9: 0.31, 8: 0.2, 7: 0.18}",cleaning
80,2023-04-10 14:23:38+09:00,"{9: 0.62, 18: 0.25, 8: 0.13}",cleaning
81,2023-04-10 14:23:39+09:00,"{18: 0.43, 9: 0.29, 4: 0.14}",cleaning
82,2023-04-10 14:23:40+09:00,"{9: 0.35, 4: 0.23, 19: 0.12}",cleaning
83,2023-04-10 14:23:41+09:00,"{7: 0.46, 18: 0.31, 9: 0.15}",cleaning
84,2023-04-10 14:23:42+09:00,"{9: 0.57, 7: 0.29, 18: 0.14}",nurse station
85,2023-04-10 14:23:43+09:00,"{7: 0.38, 9: 0.38, 18: 0.19}",nurse station
86,2023-04-10 14:23:44+09:00,"{19: 0.39, 9: 0.31, 7: 0.31}",nurse station
87,2023-04-10 14:23:45+09:00,"{9: 0.55, 7: 0.45}",nurse station
88,2023-04-10 14:23:46+09:00,"{9: 0.61, 7: 0.33, 19: 0.06}",nurse station
89,2023-04-10 14:23:47+09:00,"{19: 0.38, 7: 0.31, 9: 0.31}",nurse station
90,2023-04-10 14:23:48+09:00,"{9: 0.53, 7: 0.23, 19: 0.12}",nurse station
91,2023-04-10 14:23:49+09:00,"{9: 0.4, 7: 0.24, 4: 0.24}",nurse station
92,2023-04-10 14:23:50+09:00,"{9: 0.58, 7: 0.42}",nurse station
93,2023-04-10 14:23:51+09:00,"{9: 0.4, 7: 0.4, 4: 0.2}",nurse station
94,2023-04-10 14:23:52+09:00,"{7: 0.45, 4: 0.37, 19: 0.18}",nurse station
95,2023-04-10 14:23:53+09:00,"{9: 0.5, 4: 0.25, 7: 0.16}",nurse station
96,2023-04-10 14:23:54+09:00,"{9: 0.41, 7: 0.39, 4: 0.2}",nurse station
97,2023-04-10 14:23:55+09:00,"{9: 0.39, 4: 0.36, 7: 0.24}",nurse station
98,2023-04-10 14:23:56+09:00,"{9: 0.62, 7: 0.28, 4: 0.09}",nurse station
99,2023-04-10 14:23:57+09:00,"{9: 0.56, 7: 0.3, 4: 0.14}",nurse station
100,2023-04-10 14:23:58+09:00,"{7: 0.56, 9: 0.44}",nurse station
101,2023-04-10 14:23:59+09:00,"{9: 0.8, 7: 0.2}",nurse station
102,2023-04-10 14:24:00+09:00,"{9: 0.64, 18: 0.22, 7: 0.14}",nurse station
103,2023-04-10 14:24:01+09:00,"{4: 0.56, 9: 0.37, 7: 0.07}",nurse station
104,2023-04-10 14:24:02+09:00,"{5: 0.48, 4: 0.24, 19: 0.24}",nurse station
105,2023-04-10 14:24:03+09:00,"{4: 0.3, 5: 0.2, 19: 0.2}",nurse station
106,2023-04-10 14:24:04+09:00,"{9: 0.5, 19: 0.25, 18: 0.13}",nurse station
107,2023-04-10 14:24:05+09:00,"{19: 0.63, 5: 0.37}",nurse station
108,2023-04-10 14:24:11+09:00,"{17: 0.46, 3: 0.28, 6: 0.09}",hallway
109,2023-04-10 14:24:12+09:00,"{5: 0.29, 16: 0.27, 6: 0.17}",hallway
110,2023-04-10 14:24:13+09:00,"{5: 0.42, 3: 0.17, 17: 0.17}",hallway
111,2023-04-10 14:24:14+09:00,"{16: 0.24, 3: 0.21, 6: 0.12}",hallway
112,2023-04-10 14:24:15+09:00,"{2: 0.22, 3: 0.2, 17: 0.2}",hallway
113,2023-04-10 14:24:16+09:00,"{3: 0.4, 2: 0.18, 5: 0.12}",hallway
114,2023-04-10 14:24:17+09:00,"{5: 0.35, 17: 0.19, 3: 0.19}",hallway
115,2023-04-10 14:24:18+09:00,"{3: 0.27, 2: 0.18, 15: 0.18}",hallway
116,2023-04-10 14:24:19+09:00,"{2: 0.37, 16: 0.27, 17: 0.18}",hallway
117,2023-04-10 14:24:20+09:00,"{16: 0.28, 15: 0.19, 13: 0.19}",hallway
118,2023-04-10 14:24:21+09:00,"{3: 0.19, 17: 0.19, 16: 0.19}",hallway
119,2023-04-10 14:24:22+09:00,"{3: 0.44, 13: 0.33, 16: 0.13}",hallway
120,2023-04-10 14:24:23+09:00,"{2: 0.25, 17: 0.25, 3: 0.25}",hallway
121,2023-04-10 14:24:24+09:00,"{3: 0.3, 1: 0.2, 13: 0.1}",hallway
122,2023-04-10 14:24:25+09:00,"{3: 0.22, 2: 0.22, 15: 0.22}",hallway
123,2023-04-10 14:24:26+09:00,"{15: 0.46, 16: 0.31, 5: 0.11}",hallway
124,2023-04-10 14:24:27+09:00,"{1: 0.32, 13: 0.21, 16: 0.14}",hallway
125,2023-04-10 14:24:28+09:00,"{15: 0.45, 2: 0.21, 13: 0.18}",hallway
126,2023-04-10 14:24:29+09:00,"{13: 0.33, 15: 0.2, 3: 0.1}",hallway
127,2023-04-10 14:24:30+09:00,"{15: 0.32, 13: 0.29, 1: 0.28}",hallway
128,2023-04-10 14:24:31+09:00,"{1: 0.44, 16: 0.22, 15: 0.22}",501
129,2023-04-10 14:24:32+09:00,"{13: 0.47, 1: 0.37, 15: 0.16}",501
130,2023-04-10 14:24:38+09:00,{13: 1.0},501
131,2023-04-10 14:24:52+09:00,{15: 1.0},501
132,2023-04-10 14:25:00+09:00,{1: 1.0},501
133,2023-04-10 14:25:31+09:00,{15: 1.0},501
134,2023-04-10 14:25:32+09:00,"{1: 0.5, 13: 0.5}",501
135,2023-04-10 14:25:33+09:00,{1: 1.0},501
136,2023-04-10 14:25:34+09:00,{13: 1.0},501
137,2023-04-10 14:25:35+09:00,{1: 1.0},501
138,2023-04-10 14:25:36+09:00,{15: 1.0},501
139,2023-04-10 14:25:37+09:00,{13: 1.0},501
140,2023-04-10 14:25:38+09:00,{1: 1.0},501
141,2023-04-10 14:25:39+09:00,{13: 1.0},501
142,2023-04-10 14:25:42+09:00,{16: 1.0},501
143,2023-04-10 14:25:43+09:00,{13: 1.0},501
144,2023-04-10 14:25:44+09:00,"{13: 0.5, 15: 0.5}",501
145,2023-04-10 14:26:02+09:00,{13: 1.0},501
146,2023-04-10 14:26:03+09:00,{15: 1.0},501
147,2023-04-10 14:26:04+09:00,{15: 1.0},501
148,2023-04-10 14:26:05+09:00,{15: 1.0},501
149,2023-04-10 14:26:06+09:00,{13: 1.0},501
150,2023-04-10 14:26:10+09:00,{15: 1.0},501
151,2023-04-10 14:26:11+09:00,"{15: 0.67, 13: 0.33}",501
152,2023-04-10 14:26:12+09:00,"{16: 0.65, 15: 0.35}",501
153,2023-04-10 14:26:14+09:00,{15: 1.0},501
154,2023-04-10 14:26:15+09:00,{1: 1.0},501
155,2023-04-10 14:26:16+09:00,"{13: 0.5, 15: 0.33, 1: 0.17}",501
156,2023-04-10 14:26:17+09:00,"{15: 0.67, 2: 0.33}",501
157,2023-04-10 14:26:18+09:00,"{15: 0.6, 16: 0.2, 13: 0.2}",501
158,2023-04-10 14:26:19+09:00,"{15: 0.8, 16: 0.2}",501
159,2023-04-10 14:26:20+09:00,"{1: 0.5, 3: 0.5}",501
160,2023-04-10 14:26:21+09:00,"{13: 0.33, 15: 0.33, 16: 0.33}",501
161,2023-04-10 14:26:22+09:00,"{15: 0.65, 13: 0.23, 3: 0.12}",501
162,2023-04-10 14:26:23+09:00,"{15: 0.44, 3: 0.36, 13: 0.2}",501
163,2023-04-10 14:26:24+09:00,"{15: 0.45, 13: 0.43, 1: 0.12}",501
164,2023-04-10 14:26:25+09:00,"{15: 0.59, 1: 0.18, 16: 0.15}",501
165,2023-04-10 14:26:26+09:00,"{15: 0.42, 13: 0.26, 1: 0.21}",501
166,2023-04-10 14:26:27+09:00,"{1: 0.33, 13: 0.33, 15: 0.17}",501
167,2023-04-10 14:26:28+09:00,"{15: 0.79, 2: 0.21}",501
168,2023-04-10 14:26:29+09:00,"{15: 0.57, 13: 0.22, 16: 0.11}",501
169,2023-04-10 14:26:30+09:00,"{15: 0.36, 1: 0.31, 2: 0.17}",501
170,2023-04-10 14:26:31+09:00,"{1: 0.37, 3: 0.31, 15: 0.31}",501
171,2023-04-10 14:26:32+09:00,"{13: 0.5, 1: 0.38, 16: 0.12}",501
172,2023-04-10 14:26:33+09:00,"{13: 0.49, 1: 0.26, 2: 0.25}",501
173,2023-04-10 14:26:34+09:00,"{1: 0.62, 13: 0.28, 15: 0.09}",501
174,2023-04-10 14:26:35+09:00,"{1: 0.6, 16: 0.13, 15: 0.13}",501
175,2023-04-10 14:26:36+09:00,"{13: 0.35, 16: 0.13, 2: 0.13}",501
176,2023-04-10 14:26:37+09:00,"{15: 0.43, 13: 0.25, 1: 0.22}",501
177,2023-04-10 14:26:38+09:00,"{15: 0.31, 13: 0.26, 16: 0.09}",501
178,2023-04-10 14:26:43+09:00,"{3: 0.47, 2: 0.26, 17: 0.13}",hallway
179,2023-04-10 14:26:44+09:00,"{16: 0.41, 5: 0.27, 2: 0.22}",hallway
180,2023-04-10 14:26:45+09:00,"{3: 0.29, 5: 0.25, 17: 0.17}",hallway
181,2023-04-10 14:26:46+09:00,"{5: 0.39, 16: 0.3, 3: 0.19}",hallway
182,2023-04-10 14:26:47+09:00,"{16: 0.45, 5: 0.22, 6: 0.22}",hallway
183,2023-04-10 14:26:48+09:00,"{6: 0.35, 5: 0.31, 16: 0.22}",hallway
184,2023-04-10 14:26:49+09:00,"{5: 0.45, 16: 0.4, 6: 0.13}",hallway
185,2023-04-10 14:26:50+09:00,"{5: 0.3, 6: 0.3, 9: 0.12}",hallway
186,2023-04-10 14:26:51+09:00,"{6: 0.34, 9: 0.32, 19: 0.17}",hallway
187,2023-04-10 14:26:52+09:00,"{19: 0.44, 5: 0.22, 9: 0.11}",hallway
188,2023-04-10 14:26:53+09:00,"{19: 0.5, 4: 0.38, 9: 0.12}",hallway
189,2023-04-10 14:26:54+09:00,"{9: 0.67, 19: 0.33}",hallway
190,2023-04-10 14:26:55+09:00,"{9: 0.57, 4: 0.43}",hallway
191,2023-04-10 14:26:56+09:00,{4: 1.0},hallway
192,2023-04-10 14:26:57+09:00,"{4: 0.6, 9: 0.4}",hallway
193,2023-04-10 14:26:58+09:00,"{4: 0.57, 9: 0.43}",hallway
194,2023-04-10 14:26:59+09:00,"{4: 0.54, 9: 0.46}",hallway
195,2023-04-10 14:27:00+09:00,"{4: 0.36, 9: 0.33, 18: 0.31}",hallway
196,2023-04-10 14:27:04+09:00,"{6: 0.5, 4: 0.4, 16: 0.1}",cafeteria
197,2023-04-10 14:27:05+09:00,"{4: 0.54, 19: 0.36, 6: 0.11}",cafeteria
198,2023-04-10 14:27:06+09:00,"{4: 0.6, 7: 0.2, 9: 0.2}",cafeteria
199,2023-04-10 14:27:07+09:00,{4: 1.0},cafeteria
200,2023-04-10 14:27:08+09:00,{4: 1.0},cafeteria
201,2023-04-10 14:27:09+09:00,"{4: 0.57, 9: 0.21, 5: 0.11}",cafeteria
202,2023-04-10 14:27:10+09:00,{4: 1.0},cafeteria
203,2023-04-10 14:27:11+09:00,"{6: 0.6, 9: 0.2, 19: 0.2}",cafeteria
204,2023-04-10 14:27:12+09:00,"{9: 0.29, 17: 0.14, 3: 0.14}",cafeteria
205,2023-04-10 14:27:15+09:00,{19: 1.0},cleaning
206,2023-04-10 14:27:16+09:00,{19: 1.0},cleaning
207,2023-04-10 14:27:17+09:00,{19: 1.0},cleaning
208,2023-04-10 14:27:18+09:00,{19: 1.0},cleaning
209,2023-04-10 14:27:19+09:00,{19: 1.0},cleaning
210,2023-04-10 14:27:20+09:00,{19: 1.0},cleaning
211,2023-04-10 14:27:21+09:00,"{19: 0.58, 4: 0.21, 9: 0.21}",cleaning
212,2023-04-10 14:27:22+09:00,"{19: 0.39, 4: 0.36, 9: 0.24}",cleaning
213,2023-04-10 14:27:23+09:00,"{4: 0.54, 19: 0.46}",cleaning
214,2023-04-10 14:27:24+09:00,"{19: 0.48, 4: 0.39, 9: 0.13}",cleaning
215,2023-04-10 14:27:25+09:00,"{9: 0.59, 4: 0.29, 19: 0.12}",cleaning
216,2023-04-10 14:27:26+09:00,"{9: 0.41, 19: 0.26, 4: 0.17}",cleaning
217,2023-04-10 14:27:27+09:00,"{9: 0.37, 4: 0.25, 20: 0.25}",cleaning
218,2023-04-10 14:27:33+09:00,"{18: 0.3, 8: 0.23, 11: 0.2}",nurse station
219,2023-04-10 14:27:34+09:00,"{8: 0.31, 21: 0.25, 18: 0.21}",nurse station
220,2023-04-10 14:27:35+09:00,"{9: 0.2, 20: 0.2, 21: 0.2}",nurse station
221,2023-04-10 14:27:36+09:00,"{4: 0.25, 20: 0.21, 9: 0.21}",nurse station
222,2023-04-10 14:27:37+09:00,"{18: 0.44, 8: 0.42, 4: 0.14}",nurse station
223,2023-04-10 14:27:38+09:00,"{7: 0.46, 18: 0.31, 9: 0.15}",nurse station
224,2023-04-10 14:27:39+09:00,"{7: 0.61, 4: 0.39}",nurse station
225,2023-04-10 14:27:40+09:00,"{8: 0.38, 9: 0.24, 18: 0.19}",nurse station
226,2023-04-10 14:27:41+09:00,"{18: 0.52, 9: 0.31, 8: 0.17}",nurse station
227,2023-04-10 14:27:42+09:00,"{18: 0.5, 7: 0.25, 8: 0.25}",nurse station
228,2023-04-10 14:27:43+09:00,"{18: 0.55, 4: 0.27, 9: 0.18}",nurse station
229,2023-04-10 14:27:44+09:00,"{9: 0.48, 19: 0.4, 4: 0.12}",nurse station
230,2023-04-10 14:27:45+09:00,"{9: 0.4, 4: 0.33, 6: 0.13}",nurse station
231,2023-04-10 14:27:46+09:00,"{4: 0.53, 9: 0.36, 7: 0.12}",nurse station
232,2023-04-10 14:27:47+09:00,"{4: 0.47, 9: 0.47, 7: 0.06}",nurse station
233,2023-04-10 14:27:48+09:00,"{4: 0.6, 5: 0.4}",nurse station
234,2023-04-10 14:27:49+09:00,{4: 1.0},nurse station
235,2023-04-10 14:27:54+09:00,"{5: 0.39, 6: 0.31, 17: 0.1}",hallway
236,2023-04-10 14:27:55+09:00,"{5: 0.37, 16: 0.24, 6: 0.24}",hallway
237,2023-04-10 14:27:56+09:00,"{5: 0.38, 2: 0.19, 17: 0.19}",hallway
238,2023-04-10 14:27:57+09:00,"{5: 0.38, 17: 0.19, 3: 0.1}",hallway
239,2023-04-10 14:27:58+09:00,"{16: 0.29, 17: 0.22, 5: 0.19}",hallway
240,2023-04-10 14:27:59+09:00,"{5: 0.28, 17: 0.25, 6: 0.19}",hallway
241,2023-04-10 14:28:00+09:00,"{5: 0.4, 6: 0.2, 17: 0.2}",hallway
242,2023-04-10 14:28:01+09:00,"{4: 0.23, 6: 0.23, 9: 0.23}",hallway
243,2023-04-10 14:28:09+09:00,"{5: 0.33, 19: 0.33, 6: 0.33}",506
244,2023-04-10 14:28:10+09:00,{19: 1.0},506
245,2023-04-10 14:28:11+09:00,"{19: 0.67, 6: 0.33}",506
246,2023-04-10 14:28:12+09:00,"{19: 0.81, 6: 0.16, 9: 0.03}",506
247,2023-04-10 14:28:13+09:00,"{19: 0.52, 9: 0.31, 6: 0.17}",506
248,2023-04-10 14:28:14+09:00,"{19: 0.63, 6: 0.21, 5: 0.16}",506
249,2023-04-10 14:28:15+09:00,"{6: 0.47, 19: 0.47, 5: 0.06}",506
250,2023-04-10 14:28:16+09:00,"{6: 0.43, 19: 0.29, 14: 0.14}",506
251,2023-04-10 14:28:17+09:00,{19: 1.0},506
252,2023-04-10 14:28:18+09:00,{19: 1.0},506
253,2023-04-10 14:28:19+09:00,{19: 1.0},506
254,2023-04-10 14:28:21+09:00,{19: 1.0},506
255,2023-04-10 14:28:22+09:00,{19: 1.0},506
256,2023-04-10 14:28:24+09:00,{19: 1.0},506
257,2023-04-10 14:28:26+09:00,{19: 1.0},506
258,2023-04-10 14:28:27+09:00,{19: 1.0},506
259,2023-04-10 14:28:28+09:00,"{19: 0.67, 5: 0.33}",506
260,2023-04-10 14:28:30+09:00,{6: 1.0},506
261,2023-04-10 14:28:31+09:00,"{6: 0.55, 5: 0.37, 19: 0.09}",506
262,2023-04-10 14:28:32+09:00,"{6: 0.59, 19: 0.18, 17: 0.12}",506
263,2023-04-10 14:28:33+09:00,"{6: 0.49, 17: 0.34, 19: 0.17}",506
264,2023-04-10 14:28:34+09:00,"{5: 0.38, 19: 0.24, 6: 0.19}",506
265,2023-04-10 14:28:35+09:00,"{19: 0.61, 9: 0.19, 5: 0.19}",506
266,2023-04-10 14:28:36+09:00,{19: 1.0},506
267,2023-04-10 14:28:37+09:00,{19: 1.0},506
268,2023-04-10 14:28:38+09:00,{6: 1.0},506
269,2023-04-10 14:28:39+09:00,"{19: 0.67, 6: 0.33}",506
270,2023-04-10 14:28:40+09:00,"{9: 0.38, 6: 0.38, 5: 0.19}",506
271,2023-04-10 14:28:41+09:00,"{19: 0.58, 6: 0.21, 5: 0.21}",506
272,2023-04-10 14:28:42+09:00,"{6: 0.6, 9: 0.2, 5: 0.2}",506
273,2023-04-10 14:28:43+09:00,"{9: 0.25, 19: 0.25, 6: 0.25}",506
274,2023-04-10 14:28:44+09:00,"{19: 0.34, 5: 0.34, 6: 0.32}",506
275,2023-04-10 14:28:45+09:00,"{19: 0.83, 5: 0.15, 6: 0.02}",506
276,2023-04-10 14:28:46+09:00,"{6: 0.78, 5: 0.22}",506
277,2023-04-10 14:28:47+09:00,"{5: 0.66, 6: 0.29, 19: 0.05}",506
278,2023-04-10 14:28:48+09:00,"{5: 0.53, 19: 0.29, 6: 0.18}",506
279,2023-04-10 14:28:49+09:00,"{6: 0.33, 19: 0.33, 5: 0.33}",506
280,2023-04-10 14:28:50+09:00,"{5: 0.5, 19: 0.25, 6: 0.12}",506
281,2023-04-10 14:28:51+09:00,"{19: 0.52, 6: 0.48}",506
282,2023-04-10 14:28:52+09:00,"{19: 0.42, 5: 0.34, 6: 0.24}",506
283,2023-04-10 14:28:53+09:00,"{19: 0.61, 5: 0.25, 6: 0.14}",506
284,2023-04-10 14:28:54+09:00,"{19: 0.77, 5: 0.23}",506
285,2023-04-10 14:28:55+09:00,"{19: 0.44, 5: 0.27, 17: 0.15}",506
286,2023-04-10 14:28:56+09:00,"{6: 0.49, 19: 0.32, 5: 0.19}",506
287,2023-04-10 14:28:57+09:00,"{6: 0.6, 19: 0.2, 5: 0.2}",506
288,2023-04-10 14:28:58+09:00,"{6: 0.51, 19: 0.49}",506
289,2023-04-10 14:28:59+09:00,"{6: 0.77, 19: 0.23}",506
290,2023-04-10 14:29:00+09:00,"{19: 0.74, 16: 0.26}",506
291,2023-04-10 14:29:01+09:00,"{6: 0.57, 19: 0.43}",506
292,2023-04-10 14:29:02+09:00,"{6: 0.59, 19: 0.41}",506
293,2023-04-10 14:29:03+09:00,"{19: 0.87, 5: 0.13}",506
294,2023-04-10 14:29:04+09:00,"{19: 0.39, 16: 0.19, 6: 0.19}",506
295,2023-04-10 14:29:05+09:00,"{5: 0.52, 19: 0.26, 9: 0.22}",506
296,2023-04-10 14:29:06+09:00,{19: 1.0},506
297,2023-04-10 14:29:07+09:00,"{19: 0.75, 6: 0.25}",506
298,2023-04-10 14:29:19+09:00,{6: 1.0},506
299,2023-04-10 14:29:20+09:00,"{19: 0.5, 5: 0.25, 9: 0.25}",506
300,2023-04-10 14:29:21+09:00,"{6: 0.67, 19: 0.33}",506
301,2023-04-10 14:29:22+09:00,"{19: 0.75, 6: 0.25}",506
302,2023-04-10 14:29:23+09:00,"{9: 0.49, 19: 0.25, 5: 0.25}",506
303,2023-04-10 14:29:24+09:00,"{5: 0.31, 19: 0.31, 6: 0.16}",506
304,2023-04-10 14:29:25+09:00,"{6: 0.46, 19: 0.3, 5: 0.15}",506
305,2023-04-10 14:29:26+09:00,"{6: 0.43, 5: 0.43, 9: 0.14}",506
306,2023-04-10 14:29:27+09:00,"{4: 0.41, 19: 0.3, 9: 0.28}",506
307,2023-04-10 14:29:28+09:00,"{19: 0.57, 4: 0.42}",506
308,2023-04-10 14:29:33+09:00,{19: 1.0},cleaning
309,2023-04-10 14:29:34+09:00,{19: 1.0},cleaning
310,2023-04-10 14:29:35+09:00,{19: 1.0},cleaning
311,2023-04-10 14:29:36+09:00,{19: 1.0},cleaning
312,2023-04-10 14:29:39+09:00,{19: 1.0},cleaning
313,2023-04-10 14:29:40+09:00,{19: 1.0},cleaning
314,2023-04-10 14:29:41+09:00,{19: 1.0},cleaning
315,2023-04-10 14:29:42+09:00,"{9: 0.5, 19: 0.5}",cleaning
316,2023-04-10 14:29:44+09:00,"{19: 0.75, 9: 0.25}",cleaning
317,2023-04-10 14:29:45+09:00,{19: 1.0},cleaning
318,2023-04-10 14:29:46+09:00,"{9: 0.52, 19: 0.31, 4: 0.17}",cleaning
319,2023-04-10 14:29:47+09:00,{9: 1.0},cleaning
320,2023-04-10 14:29:52+09:00,"{7: 0.33, 20: 0.33, 8: 0.17}",nurse station
321,2023-04-10 14:29:53+09:00,"{9: 0.24, 18: 0.13, 20: 0.13}",nurse station
322,2023-04-10 14:29:54+09:00,"{8: 0.41, 11: 0.2, 9: 0.19}",nurse station
323,2023-04-10 14:29:55+09:00,"{8: 0.32, 9: 0.25, 21: 0.22}",nurse station
324,2023-04-10 14:29:56+09:00,"{11: 0.19, 10: 0.19, 18: 0.19}",nurse station
325,2023-04-10 14:29:57+09:00,"{9: 0.39, 20: 0.29, 21: 0.1}",nurse station
326,2023-04-10 14:29:58+09:00,"{7: 0.5, 18: 0.38, 9: 0.12}",nurse station
327,2023-04-10 14:29:59+09:00,"{7: 0.39, 8: 0.3, 9: 0.15}",nurse station
328,2023-04-10 14:30:00+09:00,"{7: 0.43, 8: 0.34, 9: 0.11}",nurse station
